model,pathway,scenario,region,variables,unit,2019,2020,2025,2030,2035,2040,2050
remind,SSP2-NPi,N1_ref,FR,Compensation for losses|Electricity|High,ratio,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434
remind,SSP2-NPi,N1_ref,FR,Compensation for losses|Electricity|Medium,ratio,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607
remind,SSP2-NPi,N1_ref,FR,Compensation for losses|Electricity|Low,ratio,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Run-of-river hydro,TWh/year,35.40934675,35.95692224,39.83682768,35.69405908,35.90628668,36.11851427,38.40706479
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Reservoir,TWh/year,12.75450022,16.25570932,16.72498608,18.38784862,18.49717799,18.60650735,19.78545762
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Pumped storage hydro,TWh/year,4.905577006,4.947389793,5.386869496,2.411295248,6.521294629,10.63129401,13.99215109
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.23619282,35.07345978,35.6593363,58.81838051,70.84509436,82.87180821,108.6939949
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0,3.320059183,15.84565449,40.25241804,64.65918159,148.4465301
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.34630787,11.04328079,20.39896304,36.42778178,60.65192517,84.87606856,133.8057362
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Renewable|Biomass,TWh/year,2.319000039,2.208656158,2.632739331,2.239059873,2.295943618,2.352827363,2.50190781
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Renewable|Biogas,TWh/year,2.319000039,2.562041143,2.465499643,2.239059873,2.295943618,2.352827363,2.50190781
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Renewable|Wave,TWh/year,0,0,0,0,0,0,0
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,338.0388519,295.0764626,300.9520238,303.9093189,261.4047027,218.9000865,85.62084507
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Nuclear|Evolutionary power reactor,TWh/year,0,0,0,0,18.64833539,37.29667078,83.02627401
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Nuclear|Small modular reactor,TWh/year,0,0,0,0,0,0,0
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Thermal|Coal,TWh/year,1.386610397,1.207298721,0.6034234,0,0,0,0
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Thermal|Oil|Conventional,TWh/year,1.467153282,0.232440299,0.348579989,0,0,0,0
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Thermal|Oil|Cogeneration,TWh/year,0.606075566,0.521052467,0.488434329,0,0,0,0
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Thermal|Natural gas|CCP,TWh/year,22.72263269,19.52452043,6.923350327,15.80087329,9.252005252,2.703137214,0.305788732
